num,ms,up,down,left,right
819,2606,4,2,4,5
820,2606,6,2,0,3
821,2606,7,4,2,4
822,2682,2,0,0,3
823,2682,6,3,1,6
824,2682,7,2,3,7
825,2682,6,2,0,4
826,2682,6,2,2,6
827,2682,6,3,0,4
828,2682,5,0,2,6
829,2682,5,2,1,6
830,2682,1,0,5,7
831,2682,5,2,0,4
832,2682,1,0,6,8
833,2682,4,0,3,8
834,2682,5,0,2,4
835,2682,5,2,3,7
836,2682,4,0,0,4
837,2682,9,4,3,7
838,2682,4,0,1,4
839,2682,4,4,3,4
840,2682,6,3,0,4
841,2682,4,1,2,5
842,2682,5,2,4,5
843,2682,4,2,5,8
844,2682,7,3,2,4
845,2682,5,0,4,7
846,2765,3,1,4,8
847,2765,5,0,0,6
848,2765,5,3,1,4
849,2765,3,2,2,7
850,2765,5,2,2,7
851,2765,6,2,0,5
852,2765,7,4,4,6
853,2765,5,0,1,6
854,2765,5,3,0,4
855,2765,7,3,0,4
856,2765,7,2,0,4
857,2765,3,0,1,7
858,2765,7,4,5,11
859,2765,4,0,0,5
860,2765,4,1,4,14
861,2765,11,5,0,16
862,2765,17,9,2,25
863,2765,24,14,5,39
864,2765,34,18,4,52
865,2765,52,27,7,77
866,2765,69,40,9,101
867,2765,87,46,14,133
868,2765,121,67,23,168
869,2765,147,80,35,200
870,2765,179,102,51,235
871,2765,212,119,73,255
872,2847,245,142,94,255
873,2847,255,157,128,255
874,2847,255,179,156,255
875,2847,255,194,185,255
876,2847,255,212,213,255
877,2847,255,226,238,255
878,2847,255,235,255,255
879,2847,255,248,255,255
880,2847,255,255,255,255
881,2847,255,255,255,255
882,2847,255,255,255,255
883,2847,255,255,255,255
884,2847,255,255,255,255
885,2847,255,255,255,255
886,2847,255,255,255,255
887,2847,255,255,255,255
888,2847,255,255,255,255
889,2847,255,255,255,255
890,2847,255,255,255,255
891,2847,255,255,255,255
892,2847,255,255,255,255
893,2847,255,255,255,255
894,2847,255,255,255,255
895,2847,255,255,255,255
896,2847,255,255,255,255
897,2847,255,255,255,255
898,2930,255,255,255,255
899,2930,255,255,255,255
900,2930,255,255,255,255
901,2930,255,255,255,255
902,2930,255,255,255,255
903,2930,255,255,255,255
904,2930,255,255,255,255
905,2930,255,255,255,255
906,2930,255,255,255,255
907,2930,255,255,255,255
908,2930,255,255,255,255
909,2930,255,255,255,255
910,2930,255,255,255,255
911,2930,255,255,255,255
912,2930,255,255,255,255
913,2930,255,255,255,255
914,2930,255,255,255,255
915,2930,255,255,255,255
916,2930,255,255,255,255
917,2930,255,255,255,255
918,2930,255,255,255,255
919,2930,255,255,255,255
920,2930,255,255,255,255
921,2930,255,255,255,255
922,2930,255,255,255,255
923,2930,255,255,255,255
924,3018,255,248,255,255
925,3018,255,243,255,255
926,3018,255,234,255,237
927,3018,255,225,255,217
928,3018,255,213,255,195
929,3018,255,203,255,172
930,3018,237,192,255,156
931,3018,217,183,244,140
932,3018,199,170,229,124
933,3018,184,164,214,113
934,3018,170,157,204,103
935,3018,150,145,189,95
936,3018,141,140,176,87
937,3018,131,133,163,80
938,3018,119,128,152,75
939,3018,107,118,144,72
940,3018,96,109,132,68
941,3018,87,102,122,64
942,3018,81,101,107,58
943,3018,74,96,104,59
944,3018,70,92,94,54
945,3018,58,81,90,53
946,3018,56,80,84,52
